id,business_id,category_id,name,description,barcode,buying_price,selling_price,current_stock,min_stock_level,max_stock_level,unit,product_image,tax_rate,is_active,created_by,created_at,updated_at
1,2,\N,Kaswa,"Wheat flour",\N,6250.00,6700.00,4.50,2.00,\N,pieces,\N,\N,1,2,"2026-04-26 15:58:06","2026-05-06 19:28:07"
2,2,\N,Sunday,"Cooking oil",\N,7167.00,7500.00,2.50,2.00,\N,pieces,\N,\N,1,2,"2026-04-26 16:00:51","2026-05-06 19:28:07"
3,2,\N,Sugar,"Normal sugar",\N,3080.00,4000.00,21.75,5.00,\N,Kg,\N,\N,1,2,"2026-04-26 16:03:58","2026-05-06 19:25:48"
4,2,\N,Soap,"Bar soap",\N,3400.00,4000.00,0.00,2.00,\N,pieces,\N,\N,1,2,"2026-04-26 16:05:01","2026-05-06 18:51:10"
5,2,\N,Rice,"Low price rice",\N,3500.00,4000.00,13.50,5.00,\N,Kg,\N,\N,1,2,"2026-04-26 16:06:17","2026-05-06 19:25:14"
6,2,\N,"Rice Super","Super Rice",\N,3800.00,4500.00,20.00,5.00,\N,Kg,\N,\N,1,2,"2026-04-26 16:07:09","2026-04-26 16:07:09"
7,2,\N,"West Lake big","Big water",\N,834.00,1000.00,6.00,2.00,\N,pieces,\N,\N,1,2,"2026-04-26 16:08:45","2026-05-06 19:35:28"
9,2,\N,Lucky,"Lucy juice",\N,1500.00,2000.00,5.00,2.00,\N,pieces,\N,\N,1,2,"2026-04-26 16:14:11","2026-04-26 16:14:11"
10,2,\N,Soda,"Soda small",\N,834.00,1000.00,51.00,15.00,\N,pieces,\N,\N,1,2,"2026-04-26 16:15:52","2026-05-06 19:32:34"
11,2,\N,Oner,"Oner Juice",\N,2084.00,2500.00,13.00,3.00,\N,pieces,\N,\N,1,2,"2026-04-26 16:17:04","2026-05-06 19:38:14"
12,2,\N,Sting,"Sting energy drink",\N,1500.00,2000.00,7.00,3.00,\N,pieces,\N,\N,1,2,"2026-04-26 16:19:01","2026-04-26 16:19:25"
13,2,\N,Tamarid,"Tamarid drink",\N,834.00,1000.00,7.00,3.00,\N,pieces,\N,\N,1,2,"2026-04-26 16:21:09","2026-04-26 16:21:09"
14,2,\N,"Jema Bushera",bushera,\N,834.00,1000.00,10.00,3.00,\N,pieces,\N,\N,1,2,"2026-04-26 16:22:21","2026-05-06 19:38:14"
15,2,\N,Clever,"Clever drink",\N,417.00,500.00,10.00,3.00,\N,pieces,\N,\N,1,2,"2026-04-26 16:23:45","2026-04-26 18:15:20"
16,2,\N,UFresh,"ufresh drink",\N,417.00,500.00,12.00,5.00,\N,pieces,\N,\N,1,2,"2026-04-26 16:24:48","2026-04-26 16:42:39"
17,2,\N,"Oner m","Oner medium",\N,1300.00,1500.00,1.00,3.00,\N,pieces,\N,\N,1,2,"2026-04-26 16:25:34","2026-04-26 16:25:34"
18,2,\N,"Oner small","oner small",\N,834.00,1000.00,6.00,3.00,\N,pieces,\N,\N,1,2,"2026-04-26 16:26:19","2026-04-26 16:26:19"
19,2,\N,Salt,"Normal salt",\N,725.00,1000.00,0.00,5.00,\N,Pieces,"file:///Users/tracecorp/Library/Developer/CoreSimulator/Devices/48DFEFB7-8683-49D2-B9B7-E6E6AB781B0B/data/Containers/Data/Application/13BC1B0B-CD00-474C-A63F-11658769BEBB/tmp/1CE74D30-DA78-4B51-BE2E-BDBB779F5941.jpg",\N,1,2,"2026-04-27 18:45:26","2026-05-06 19:33:33"
20,2,\N,"Jesa Milk","Jess milk",\N,1834.00,2000.00,17.00,5.00,\N,pieces,\N,\N,1,2,"2026-04-27 19:03:54","2026-05-06 19:34:39"
21,2,\N,Bread,"Small bread",\N,417.00,500.00,6.00,5.00,\N,pieces,\N,\N,1,2,"2026-05-01 07:34:42","2026-05-01 09:28:37"
22,2,\N,"Water small","Small water",\N,417.00,500.00,18.00,10.00,\N,pieces,\N,\N,1,2,"2026-05-01 07:43:54","2026-05-06 19:38:14"
23,2,\N,Wipes,"Baby wipes",\N,4500.00,5000.00,6.00,2.00,\N,pieces,\N,\N,1,2,"2026-05-06 12:08:02","2026-05-06 12:08:02"
24,2,\N,"Kakira Sugar","Kakira packet sugar",\N,4000.00,5000.00,14.00,5.00,\N,pieces,\N,\N,1,2,"2026-05-06 12:11:20","2026-05-06 12:11:20"
25,2,\N,"Magic 500g","Magic 500g",\N,5500.00,6000.00,3.00,1.00,\N,pieces,\N,\N,1,2,"2026-05-06 12:12:38","2026-05-06 12:12:38"
26,2,\N,"Ariel 1kg","Ariel 1kg",\N,11000.00,12000.00,2.00,1.00,\N,pieces,\N,\N,1,2,"2026-05-06 12:14:08","2026-05-06 12:14:08"
27,2,\N,"Tomato source",\N,\N,1200.00,1500.00,20.00,5.00,\N,pieces,\N,\N,1,2,"2026-05-06 12:15:54","2026-05-06 12:15:54"
28,2,\N,"White start soap","White start bar soap",\N,5500.00,6000.00,10.00,3.00,\N,pieces,\N,\N,1,2,"2026-05-06 12:19:12","2026-05-06 12:19:12"
29,2,\N,Gnuts,"Ground nuts",\N,6000.00,8000.00,5.00,2.00,\N,Kg,\N,\N,1,2,"2026-05-06 12:20:29","2026-05-06 12:39:17"
30,2,\N,Candles,Candles,\N,313.00,500.00,96.00,5.00,\N,pieces,\N,\N,1,2,"2026-05-06 12:24:18","2026-05-06 12:39:04"
31,2,\N,"Rwenzori Tea Leaves","Rwenzori Tea Leaves",\N,87.00,200.00,0.00,12.00,\N,pieces,\N,\N,1,2,"2026-05-06 12:34:46","2026-05-06 12:38:46"
32,2,\N,Royco,"Royco medium",\N,833.30,1000.00,70.00,5.00,\N,pieces,\N,\N,1,2,"2026-05-06 19:03:52","2026-05-06 19:03:52"
